lens_type,power,lens_index,coating,store_type,rush_order,inventory_available,qc_failures,completion_hours
Bifocal,-0.16,1.74,Blue Cut,Hospital,0,0,3,103
Single Vision,-5.34,1.74,Standard,Premium,1,1,3,56
Bifocal,-5.56,1.56,Anti Glare,Premium,1,1,2,79
Bifocal,-6.77,1.50,Anti Glare,Retail,1,0,2,79
Single Vision,0.88,1.56,Blue Cut,Premium,1,0,1,88
Progressive,2.03,1.67,Blue Cut,Premium,1,1,3,98
Bifocal,2.91,1.50,Anti Glare,Premium,1,0,3,77
Single Vision,-6.3,1.74,Anti Glare,Premium,1,0,1,66
Progressive,-7.03,1.50,Blue Cut,Retail,0,1,3,118
Progressive,-1.89,1.56,Anti Glare,Hospital,0,0,0,131
Single Vision,-4.95,1.50,Anti Glare,Premium,0,0,0,49
Progressive,0.98,1.50,Standard,Hospital,0,1,1,55
Bifocal,-0.21,1.56,Blue Cut,Premium,1,1,1,41
Progressive,-2.33,1.67,Standard,Retail,1,0,1,77
Single Vision,3.98,1.74,Blue Cut,Premium,0,1,0,49
Bifocal,2.54,1.67,Standard,Retail,0,0,1,96
Single Vision,-3.87,1.50,Photochromic,Premium,1,1,3,62
Progressive,1.1,1.74,Standard,Retail,1,0,3,142
Single Vision,-5.93,1.74,Photochromic,Retail,1,0,1,79
Bifocal,-4.01,1.67,Blue Cut,Hospital,0,0,3,90
Progressive,-2.68,1.74,Anti Glare,Hospital,1,0,1,105
Bifocal,-3.89,1.74,Photochromic,Hospital,0,0,0,87
Progressive,3.32,1.67,Standard,Retail,1,1,0,59
Progressive,3.89,1.56,Standard,Retail,1,0,2,102
Single Vision,-4.99,1.74,Standard,Premium,1,0,0,80
Single Vision,-6.16,1.50,Anti Glare,Hospital,0,0,3,101
Progressive,3.44,1.74,Blue Cut,Retail,0,0,2,107
Bifocal,-7.8,1.56,Photochromic,Retail,1,0,3,123
Single Vision,-1.86,1.67,Anti Glare,Premium,0,1,0,37
Bifocal,3.26,1.74,Standard,Hospital,0,0,3,124
Bifocal,0.73,1.67,Anti Glare,Retail,1,0,1,84
Bifocal,-0.71,1.50,Photochromic,Hospital,1,1,1,46
Single Vision,-5.14,1.67,Standard,Premium,1,0,3,94
Bifocal,-0.59,1.74,Blue Cut,Premium,1,1,2,73
Single Vision,-2.23,1.67,Anti Glare,Hospital,1,0,0,44
Single Vision,-5.52,1.67,Blue Cut,Retail,1,0,2,55
Bifocal,-4.71,1.56,Standard,Premium,0,1,3,55
Progressive,3.6,1.50,Anti Glare,Premium,0,1,0,68
Bifocal,-7.66,1.50,Standard,Premium,1,0,2,82
Single Vision,-3.33,1.74,Anti Glare,Hospital,0,1,1,46
Bifocal,-2.86,1.56,Standard,Hospital,0,0,3,107
Single Vision,-4.65,1.67,Photochromic,Premium,1,1,0,39
Bifocal,3.31,1.74,Anti Glare,Hospital,1,1,1,75
Progressive,-3.64,1.67,Photochromic,Retail,1,1,3,83
Single Vision,0.88,1.50,Anti Glare,Retail,0,1,0,36
Single Vision,-4.86,1.56,Anti Glare,Hospital,0,0,3,59
Bifocal,2.81,1.67,Standard,Premium,1,0,2,77
Single Vision,-1.41,1.74,Blue Cut,Premium,0,0,0,67
Single Vision,-1.32,1.50,Anti Glare,Hospital,1,0,3,76
Bifocal,1.0,1.67,Anti Glare,Retail,0,0,0,98
Single Vision,3.05,1.74,Photochromic,Premium,1,0,0,76
Single Vision,-0.08,1.67,Standard,Retail,1,0,3,74
Bifocal,1.12,1.56,Photochromic,Hospital,0,0,2,82
Progressive,-7.87,1.67,Photochromic,Hospital,1,1,0,76
Bifocal,-6.24,1.74,Standard,Premium,1,1,1,72
Single Vision,-0.44,1.67,Photochromic,Hospital,1,0,2,63
Single Vision,-2.72,1.56,Photochromic,Hospital,0,1,1,49
Single Vision,-4.15,1.67,Blue Cut,Retail,0,1,2,52
Bifocal,-3.66,1.74,Anti Glare,Hospital,1,0,2,90
Bifocal,-4.65,1.50,Standard,Retail,0,1,3,78
Progressive,-5.21,1.74,Blue Cut,Hospital,0,1,2,110
Single Vision,2.2,1.56,Anti Glare,Hospital,1,0,3,74
Single Vision,2.93,1.67,Standard,Hospital,1,1,0,35
Bifocal,2.45,1.74,Standard,Hospital,0,1,3,73
Progressive,-7.0,1.56,Blue Cut,Premium,0,0,0,122
Single Vision,-6.56,1.56,Anti Glare,Hospital,1,1,1,40
Single Vision,1.0,1.67,Blue Cut,Retail,0,1,3,68
Bifocal,-1.7,1.50,Standard,Hospital,0,0,2,99
Bifocal,2.34,1.56,Anti Glare,Premium,1,1,3,74
Bifocal,-7.26,1.67,Anti Glare,Premium,0,1,1,95
Bifocal,0.6,1.56,Anti Glare,Hospital,0,1,2,69
Single Vision,3.81,1.50,Standard,Hospital,0,0,2,75
Progressive,2.45,1.56,Photochromic,Premium,1,0,0,82
Progressive,-5.23,1.74,Blue Cut,Retail,0,0,1,98
Bifocal,-2.56,1.50,Photochromic,Premium,1,1,2,52
Single Vision,1.66,1.56,Photochromic,Retail,0,1,0,56
Bifocal,1.76,1.74,Blue Cut,Premium,1,1,2,70
Progressive,-7.86,1.74,Standard,Hospital,1,1,2,72
Bifocal,-5.98,1.67,Blue Cut,Hospital,1,1,1,93
Single Vision,-2.45,1.50,Standard,Premium,0,1,0,24
Progressive,1.69,1.74,Photochromic,Hospital,0,1,0,90
Progressive,3.6,1.50,Photochromic,Retail,1,0,2,82
Single Vision,-3.09,1.74,Standard,Hospital,1,0,3,76
Bifocal,-6.55,1.67,Photochromic,Premium,0,1,0,91
Single Vision,1.47,1.56,Photochromic,Hospital,0,1,2,50
Progressive,-2.89,1.67,Blue Cut,Premium,0,1,1,69
Bifocal,-7.2,1.50,Photochromic,Retail,0,0,0,106
Bifocal,1.12,1.67,Photochromic,Hospital,0,0,3,128
Bifocal,-4.95,1.67,Standard,Retail,1,1,0,70
Progressive,0.27,1.74,Standard,Retail,0,0,0,87
Bifocal,2.14,1.74,Photochromic,Hospital,1,1,1,64
Single Vision,-2.01,1.74,Anti Glare,Premium,1,0,1,58
Bifocal,2.41,1.56,Blue Cut,Premium,1,0,1,74
Single Vision,-3.36,1.56,Blue Cut,Retail,0,0,0,38
Bifocal,-7.56,1.50,Blue Cut,Premium,0,0,0,96
Single Vision,-1.12,1.56,Anti Glare,Hospital,0,1,3,62
Bifocal,-3.55,1.67,Anti Glare,Premium,0,1,2,56
Single Vision,-3.45,1.56,Blue Cut,Retail,0,1,2,52
Single Vision,1.33,1.74,Anti Glare,Premium,0,1,0,37
Bifocal,-4.64,1.74,Standard,Premium,0,1,3,69
Single Vision,-5.7,1.74,Standard,Retail,1,1,3,71
Single Vision,-4.18,1.50,Standard,Premium,0,1,1,48
Bifocal,0.86,1.74,Photochromic,Premium,1,0,2,93
Bifocal,3.32,1.74,Blue Cut,Premium,0,0,1,70
Bifocal,-5.19,1.67,Anti Glare,Hospital,0,1,2,100
Bifocal,2.21,1.56,Photochromic,Hospital,1,0,2,75
Progressive,-5.12,1.67,Photochromic,Retail,0,1,1,98
Single Vision,3.78,1.56,Standard,Retail,0,0,1,65
Bifocal,-5.75,1.50,Blue Cut,Premium,1,1,1,54
Single Vision,-6.06,1.56,Blue Cut,Hospital,1,0,1,73
Single Vision,-7.1,1.56,Photochromic,Premium,0,0,0,71
Bifocal,-3.35,1.74,Photochromic,Hospital,0,0,0,96
Progressive,0.25,1.50,Anti Glare,Retail,0,0,3,139
Progressive,-5.37,1.56,Anti Glare,Premium,1,1,3,75
Single Vision,3.14,1.74,Standard,Retail,0,0,2,77
Bifocal,-6.96,1.74,Photochromic,Retail,0,1,3,107
Bifocal,1.04,1.67,Standard,Hospital,1,1,3,64
Progressive,-2.72,1.74,Blue Cut,Hospital,0,1,0,92
Bifocal,-6.1,1.50,Standard,Hospital,0,1,2,76
Bifocal,0.03,1.50,Photochromic,Hospital,0,1,1,76
Single Vision,-7.64,1.50,Anti Glare,Retail,1,0,1,75
Bifocal,3.1,1.74,Standard,Premium,0,0,3,107
Progressive,-7.58,1.56,Blue Cut,Premium,1,0,2,96
Single Vision,-5.33,1.67,Photochromic,Retail,1,1,0,42
Single Vision,3.09,1.50,Photochromic,Premium,1,0,3,67
Single Vision,-3.13,1.67,Standard,Retail,0,1,3,53
Bifocal,-2.76,1.50,Standard,Premium,1,0,1,54
Bifocal,-3.98,1.50,Blue Cut,Retail,1,0,1,66
Progressive,-4.2,1.74,Blue Cut,Retail,1,0,3,118
Progressive,-4.22,1.50,Standard,Retail,0,0,1,128
Progressive,2.9,1.50,Anti Glare,Hospital,0,0,0,75
Single Vision,-2.1,1.74,Photochromic,Premium,0,0,2,80
Single Vision,-2.0,1.74,Photochromic,Retail,0,1,1,51
Progressive,-5.49,1.56,Blue Cut,Premium,0,1,0,79
Single Vision,-2.51,1.56,Photochromic,Hospital,0,1,2,51
Bifocal,-5.03,1.50,Photochromic,Retail,1,1,1,74
Progressive,-0.03,1.56,Blue Cut,Retail,0,1,0,99
Bifocal,-4.87,1.74,Anti Glare,Hospital,0,1,2,71
Bifocal,-7.8,1.56,Anti Glare,Retail,1,1,3,74
Single Vision,-6.12,1.67,Anti Glare,Hospital,1,1,3,76
Progressive,-4.4,1.74,Anti Glare,Hospital,0,1,3,89
Single Vision,-1.24,1.74,Blue Cut,Hospital,1,0,2,59
Progressive,1.04,1.56,Anti Glare,Premium,1,0,2,95
Single Vision,-2.92,1.50,Photochromic,Premium,0,1,0,36
Bifocal,-1.86,1.74,Blue Cut,Retail,1,0,2,104
Bifocal,3.55,1.56,Blue Cut,Retail,0,0,0,73
Progressive,-1.37,1.56,Photochromic,Hospital,1,0,0,84
Progressive,-5.15,1.50,Blue Cut,Hospital,1,1,2,99
Progressive,1.77,1.56,Photochromic,Hospital,1,1,0,84
Progressive,-3.08,1.67,Anti Glare,Premium,0,0,3,116
Bifocal,-5.43,1.50,Anti Glare,Premium,1,0,0,74
Progressive,-5.6,1.56,Anti Glare,Retail,0,1,1,99
Bifocal,-1.04,1.50,Standard,Hospital,0,1,0,56
Bifocal,0.77,1.50,Photochromic,Hospital,1,0,2,74
Progressive,-1.08,1.56,Standard,Premium,0,1,1,54
Bifocal,-6.08,1.50,Standard,Premium,0,1,0,57
Bifocal,3.22,1.74,Anti Glare,Premium,1,1,2,68
Bifocal,-4.48,1.67,Photochromic,Hospital,1,0,3,88
Single Vision,0.44,1.74,Standard,Retail,1,0,1,73
Single Vision,-0.43,1.74,Anti Glare,Hospital,1,1,2,49
Single Vision,-0.5,1.56,Blue Cut,Retail,1,0,2,67
Bifocal,-6.02,1.67,Photochromic,Retail,1,0,0,74
Progressive,-3.05,1.56,Photochromic,Hospital,0,0,2,103
Single Vision,-5.18,1.56,Anti Glare,Hospital,0,0,0,69
Bifocal,0.58,1.67,Photochromic,Hospital,0,1,0,68
Single Vision,-7.25,1.74,Anti Glare,Hospital,0,0,3,115
Single Vision,-7.07,1.56,Blue Cut,Retail,0,1,0,41
Single Vision,-6.45,1.67,Anti Glare,Retail,0,0,0,78
Bifocal,-0.69,1.74,Blue Cut,Hospital,0,0,0,74
Bifocal,0.82,1.56,Photochromic,Hospital,1,0,1,60
Single Vision,-3.57,1.74,Standard,Hospital,0,0,0,74
Bifocal,1.48,1.74,Anti Glare,Hospital,0,1,3,65
Bifocal,-1.54,1.74,Blue Cut,Premium,1,0,1,87
Single Vision,-6.83,1.56,Blue Cut,Retail,1,1,1,36
Bifocal,-0.38,1.67,Blue Cut,Premium,1,1,0,74
Progressive,0.3,1.74,Photochromic,Retail,0,0,1,105
Progressive,-1.1,1.67,Standard,Retail,0,0,2,124
Single Vision,0.4,1.74,Standard,Hospital,1,0,1,38
Progressive,-4.64,1.67,Blue Cut,Hospital,0,0,1,79
Progressive,-3.1,1.56,Photochromic,Premium,0,1,0,78
Progressive,-7.26,1.74,Standard,Premium,0,0,0,135
Bifocal,-5.6,1.67,Photochromic,Retail,1,0,3,129
Bifocal,-6.77,1.67,Photochromic,Premium,1,1,2,94
Bifocal,1.79,1.56,Anti Glare,Hospital,0,0,1,67
Progressive,-4.61,1.67,Anti Glare,Retail,1,0,1,86
Single Vision,1.9,1.67,Photochromic,Hospital,0,1,2,66
Single Vision,0.18,1.50,Standard,Premium,1,0,0,37
Progressive,-2.96,1.56,Blue Cut,Premium,1,0,1,89
Single Vision,-4.9,1.50,Anti Glare,Hospital,0,0,0,68
Bifocal,-7.28,1.56,Blue Cut,Premium,0,0,1,89
Bifocal,-0.53,1.74,Anti Glare,Hospital,1,0,2,107
Bifocal,3.39,1.74,Photochromic,Hospital,1,1,2,72
Progressive,-4.18,1.56,Anti Glare,Premium,0,0,2,123
Single Vision,-4.83,1.74,Anti Glare,Retail,1,1,0,36
Single Vision,-2.7,1.56,Blue Cut,Retail,1,1,3,56
Single Vision,1.83,1.50,Standard,Hospital,0,1,3,63
Bifocal,-3.19,1.56,Standard,Hospital,1,0,1,69
Single Vision,-4.44,1.50,Blue Cut,Premium,0,0,3,92
Single Vision,2.87,1.74,Standard,Retail,0,1,0,50
Bifocal,0.05,1.50,Blue Cut,Retail,1,0,0,69
Progressive,-6.05,1.74,Anti Glare,Retail,0,1,1,108
Bifocal,-4.86,1.56,Standard,Hospital,0,1,2,49
Bifocal,0.39,1.74,Photochromic,Retail,1,1,3,83
Progressive,-1.61,1.67,Blue Cut,Premium,0,1,0,101
Bifocal,-3.88,1.74,Photochromic,Retail,1,1,2,68
Progressive,-1.87,1.74,Photochromic,Hospital,1,1,0,100
Single Vision,-4.36,1.50,Blue Cut,Hospital,0,1,0,37
Bifocal,-6.67,1.56,Blue Cut,Hospital,0,1,3,82
Single Vision,-3.11,1.67,Photochromic,Retail,0,0,0,75
Progressive,2.21,1.67,Photochromic,Premium,0,0,2,106
Single Vision,-7.78,1.56,Blue Cut,Retail,0,0,2,86
Progressive,1.89,1.67,Photochromic,Retail,1,0,0,73
Bifocal,-4.74,1.74,Blue Cut,Premium,1,1,3,96
Progressive,-2.54,1.50,Anti Glare,Hospital,0,0,3,110
Progressive,-6.42,1.67,Standard,Retail,0,0,1,129
Bifocal,3.28,1.74,Anti Glare,Premium,0,1,2,56
Single Vision,-7.85,1.67,Photochromic,Hospital,1,0,1,75
Single Vision,1.44,1.74,Anti Glare,Retail,0,0,1,84
Bifocal,3.32,1.56,Anti Glare,Premium,0,1,2,62
Progressive,-0.79,1.67,Photochromic,Hospital,0,1,1,95
Bifocal,-5.14,1.67,Photochromic,Hospital,0,1,3,98
Single Vision,-1.61,1.74,Anti Glare,Retail,1,0,1,49
Single Vision,-2.9,1.50,Standard,Retail,0,0,1,69
Single Vision,-1.78,1.50,Photochromic,Premium,0,1,1,42
Bifocal,-2.25,1.56,Standard,Hospital,1,1,3,46
Progressive,1.88,1.56,Photochromic,Hospital,1,1,3,94
Single Vision,-0.53,1.74,Standard,Retail,1,0,3,88
Single Vision,-2.11,1.50,Blue Cut,Retail,1,0,1,75
Bifocal,-7.27,1.67,Standard,Premium,1,1,0,63
Bifocal,-1.62,1.74,Standard,Hospital,1,0,0,92
Single Vision,0.83,1.74,Anti Glare,Hospital,1,1,1,32
Bifocal,-1.62,1.74,Photochromic,Hospital,1,1,0,68
Progressive,-2.72,1.67,Standard,Hospital,1,0,2,90
Progressive,-1.08,1.74,Photochromic,Retail,1,1,0,90
Bifocal,-6.46,1.56,Anti Glare,Hospital,1,0,2,106
Single Vision,0.92,1.74,Anti Glare,Hospital,1,0,2,92
Progressive,0.12,1.74,Blue Cut,Retail,1,1,2,85
Progressive,-1.63,1.56,Anti Glare,Premium,1,1,3,98
Progressive,-4.64,1.67,Anti Glare,Retail,1,0,0,76
Single Vision,-0.6,1.56,Standard,Premium,1,0,2,65
Single Vision,3.33,1.74,Photochromic,Retail,0,1,2,63
Progressive,0.85,1.67,Standard,Hospital,0,0,0,117
Progressive,-7.34,1.67,Photochromic,Premium,0,1,0,104
Bifocal,-2.11,1.50,Blue Cut,Hospital,0,1,2,56
Bifocal,1.06,1.74,Standard,Premium,1,0,2,89
Progressive,-3.73,1.50,Blue Cut,Premium,0,1,2,74
Bifocal,-0.83,1.67,Blue Cut,Premium,1,0,3,114
Progressive,-7.86,1.50,Blue Cut,Retail,0,1,1,89
Single Vision,-3.61,1.50,Anti Glare,Premium,0,0,3,78
Progressive,-7.91,1.74,Standard,Hospital,1,1,3,124
Bifocal,-0.69,1.56,Standard,Premium,1,1,3,80
Progressive,-6.25,1.56,Standard,Premium,0,0,2,108
Single Vision,3.67,1.74,Standard,Premium,1,0,2,72
Bifocal,-4.97,1.50,Anti Glare,Hospital,1,1,0,53
Progressive,-4.36,1.67,Standard,Premium,1,1,2,77
Single Vision,-6.49,1.74,Standard,Premium,1,0,2,87
Single Vision,-0.04,1.67,Photochromic,Premium,0,1,3,73
Bifocal,-7.62,1.67,Blue Cut,Retail,1,1,3,103
Progressive,0.35,1.56,Photochromic,Retail,0,1,0,97
Progressive,-0.2,1.56,Blue Cut,Premium,1,1,3,101
Bifocal,2.25,1.67,Anti Glare,Retail,1,0,2,92
Bifocal,2.55,1.50,Photochromic,Premium,1,0,3,87
Single Vision,2.9,1.67,Anti Glare,Retail,0,1,2,49
Progressive,1.53,1.74,Photochromic,Premium,0,0,0,110
Single Vision,0.79,1.56,Standard,Retail,1,0,3,78
Progressive,-5.62,1.50,Photochromic,Retail,1,1,1,67
Bifocal,-1.53,1.50,Standard,Premium,1,0,2,93
Single Vision,0.16,1.50,Photochromic,Hospital,0,1,1,53
Progressive,-4.33,1.56,Photochromic,Hospital,0,0,2,131
Bifocal,0.29,1.74,Anti Glare,Premium,0,1,2,54
Bifocal,-0.86,1.50,Blue Cut,Retail,0,0,1,86
Bifocal,-3.81,1.50,Standard,Retail,1,1,0,53
Single Vision,-7.51,1.74,Standard,Retail,0,0,1,85
Progressive,-6.91,1.67,Anti Glare,Retail,0,1,3,100
Progressive,0.32,1.50,Blue Cut,Hospital,0,0,0,102
Progressive,-0.3,1.56,Blue Cut,Premium,0,0,0,113
Bifocal,-1.16,1.50,Blue Cut,Hospital,1,1,0,35
Progressive,-5.81,1.74,Blue Cut,Retail,1,0,3,146
Bifocal,-0.07,1.67,Blue Cut,Premium,0,0,3,109
Single Vision,-7.21,1.67,Anti Glare,Retail,1,1,0,52
Progressive,-0.39,1.56,Photochromic,Hospital,0,1,3,83
Single Vision,-1.36,1.50,Standard,Hospital,1,0,3,57
Single Vision,-7.51,1.67,Standard,Hospital,1,1,1,58
Bifocal,-1.73,1.67,Standard,Hospital,1,0,0,57
Progressive,1.39,1.56,Blue Cut,Premium,1,1,0,67
Single Vision,-3.32,1.67,Anti Glare,Premium,0,0,1,60
Single Vision,3.29,1.67,Blue Cut,Hospital,1,1,2,46
Progressive,2.47,1.67,Anti Glare,Retail,1,1,3,103
Bifocal,-1.95,1.67,Standard,Premium,1,1,2,61
Bifocal,-1.78,1.74,Blue Cut,Premium,1,1,2,84
Single Vision,3.68,1.56,Standard,Hospital,0,1,1,41
Progressive,-7.28,1.74,Standard,Retail,0,0,0,111
Progressive,2.97,1.56,Anti Glare,Retail,0,1,0,63
Progressive,2.82,1.67,Standard,Retail,1,1,1,50
Bifocal,0.85,1.74,Standard,Retail,1,0,2,76
Single Vision,-4.37,1.74,Anti Glare,Retail,0,0,0,68
Single Vision,-1.44,1.74,Anti Glare,Premium,0,0,3,85
Progressive,1.32,1.67,Photochromic,Hospital,0,1,0,75
Single Vision,-7.64,1.50,Anti Glare,Hospital,1,0,2,75
Single Vision,-5.65,1.50,Blue Cut,Retail,0,1,0,63
Progressive,-4.43,1.56,Anti Glare,Retail,0,1,2,91
Single Vision,2.4,1.50,Blue Cut,Premium,1,1,2,33
Bifocal,-5.51,1.74,Photochromic,Retail,1,0,1,123
Bifocal,1.84,1.50,Photochromic,Premium,0,0,3,125
Progressive,3.46,1.56,Blue Cut,Hospital,1,0,2,103
Single Vision,-5.18,1.67,Blue Cut,Retail,1,1,1,55
Single Vision,-0.08,1.74,Anti Glare,Retail,0,0,0,66
Bifocal,1.59,1.74,Standard,Retail,0,0,3,104
Single Vision,-5.67,1.50,Anti Glare,Premium,0,0,3,77
Progressive,-2.9,1.74,Standard,Retail,0,1,0,68
Progressive,2.58,1.74,Blue Cut,Premium,0,0,0,83
Progressive,-7.77,1.56,Blue Cut,Retail,0,1,2,120
Bifocal,-2.98,1.67,Anti Glare,Premium,1,0,2,96
Progressive,2.93,1.56,Blue Cut,Retail,0,1,3,75
Bifocal,-5.86,1.74,Blue Cut,Hospital,0,1,2,105
Progressive,-1.63,1.50,Photochromic,Premium,0,0,1,109
Progressive,-1.8,1.50,Standard,Premium,1,1,3,61
Progressive,-3.49,1.74,Standard,Hospital,1,0,3,131
Bifocal,2.66,1.50,Standard,Hospital,1,1,2,58
Single Vision,-6.91,1.56,Blue Cut,Retail,1,1,0,28
Progressive,-5.16,1.74,Blue Cut,Retail,1,1,1,126
Progressive,-5.0,1.74,Anti Glare,Premium,0,1,0,84
Progressive,3.69,1.67,Photochromic,Premium,0,0,3,133
Single Vision,-7.41,1.67,Standard,Premium,1,0,3,97
Progressive,-4.88,1.67,Standard,Premium,0,1,3,98
Single Vision,2.11,1.50,Blue Cut,Premium,1,1,0,31
Progressive,-7.85,1.67,Blue Cut,Retail,0,1,0,76
Bifocal,-5.03,1.67,Anti Glare,Hospital,0,1,0,73
Single Vision,-1.14,1.67,Photochromic,Hospital,0,1,3,59
Single Vision,-4.21,1.50,Anti Glare,Premium,1,0,3,63
Single Vision,1.23,1.56,Standard,Hospital,0,0,0,72
Bifocal,-2.42,1.50,Blue Cut,Retail,1,0,2,98
Single Vision,1.23,1.50,Blue Cut,Hospital,1,0,0,58
Single Vision,-4.75,1.56,Blue Cut,Premium,1,1,1,41
Single Vision,-5.76,1.50,Standard,Retail,1,1,3,51
Bifocal,0.82,1.56,Anti Glare,Retail,0,0,3,89
Single Vision,-5.93,1.74,Anti Glare,Premium,0,1,0,58
Bifocal,-3.11,1.67,Photochromic,Hospital,1,0,0,98
Single Vision,0.09,1.56,Photochromic,Hospital,1,0,3,70
Progressive,-5.81,1.74,Standard,Retail,0,0,3,151
Bifocal,0.98,1.74,Anti Glare,Premium,1,1,0,41
Bifocal,0.33,1.56,Blue Cut,Retail,1,1,0,57
Bifocal,-1.3,1.50,Photochromic,Retail,1,1,2,66
Progressive,2.82,1.56,Blue Cut,Retail,0,1,0,72
Single Vision,-0.07,1.50,Blue Cut,Hospital,1,0,2,68
Single Vision,-1.93,1.56,Blue Cut,Retail,1,0,2,77
Single Vision,1.41,1.74,Photochromic,Premium,1,0,0,48
Bifocal,-2.13,1.50,Photochromic,Premium,1,0,1,109
Bifocal,-2.93,1.67,Blue Cut,Retail,0,0,1,94
Bifocal,-0.03,1.50,Blue Cut,Premium,1,0,2,78
Progressive,0.64,1.50,Blue Cut,Retail,1,1,3,87
Progressive,0.34,1.50,Standard,Premium,1,0,1,111
Bifocal,-5.01,1.74,Blue Cut,Hospital,1,0,3,105
Single Vision,1.55,1.67,Standard,Hospital,1,0,2,72
Bifocal,-6.84,1.56,Standard,Retail,0,1,2,67
Single Vision,-0.47,1.50,Anti Glare,Retail,0,1,0,38
Progressive,-0.51,1.74,Anti Glare,Hospital,1,1,0,51
Progressive,0.34,1.50,Blue Cut,Hospital,1,0,1,111
Bifocal,-0.78,1.67,Photochromic,Retail,1,0,1,96
Bifocal,2.62,1.67,Blue Cut,Retail,1,1,3,73
Single Vision,2.61,1.67,Anti Glare,Retail,1,0,3,71
Bifocal,2.13,1.67,Blue Cut,Retail,0,0,0,74
Single Vision,3.19,1.56,Blue Cut,Premium,1,0,1,55
Single Vision,3.62,1.74,Standard,Premium,0,0,1,69
Single Vision,2.43,1.50,Anti Glare,Premium,0,1,1,39
Single Vision,1.29,1.74,Anti Glare,Hospital,1,0,0,62
Progressive,-2.47,1.74,Anti Glare,Premium,1,0,0,85
Single Vision,-5.94,1.67,Blue Cut,Hospital,1,1,1,67
Bifocal,2.45,1.74,Anti Glare,Premium,0,1,1,65
Progressive,3.44,1.67,Blue Cut,Hospital,1,0,2,78
Single Vision,-1.16,1.56,Anti Glare,Retail,0,1,0,38
Bifocal,3.98,1.67,Standard,Premium,1,1,2,48
Single Vision,3.39,1.56,Anti Glare,Retail,1,0,1,57
Bifocal,-7.68,1.67,Anti Glare,Hospital,1,0,0,79
Progressive,2.15,1.56,Standard,Hospital,0,0,2,92
Progressive,1.01,1.50,Photochromic,Retail,1,0,0,97
Single Vision,-6.65,1.67,Anti Glare,Hospital,1,1,2,61
Progressive,-2.78,1.50,Standard,Hospital,1,0,1,102
Bifocal,-5.5,1.50,Photochromic,Premium,1,1,3,108
Bifocal,2.33,1.74,Standard,Hospital,1,0,1,102
Progressive,3.08,1.74,Standard,Hospital,1,0,2,96
Bifocal,1.3,1.56,Anti Glare,Hospital,1,1,2,55
Progressive,-1.22,1.56,Photochromic,Hospital,0,1,1,76
Single Vision,-6.11,1.74,Blue Cut,Premium,1,1,3,85
Single Vision,-0.87,1.50,Standard,Retail,1,0,0,30
Bifocal,3.16,1.67,Photochromic,Retail,1,0,3,98
Single Vision,-7.39,1.50,Photochromic,Hospital,0,1,3,77
Single Vision,-6.43,1.74,Blue Cut,Premium,0,0,1,99
Bifocal,2.55,1.50,Blue Cut,Retail,1,1,2,58
Progressive,-3.26,1.67,Anti Glare,Retail,0,0,3,128
Bifocal,2.97,1.56,Anti Glare,Retail,1,1,1,52
Bifocal,-2.47,1.67,Photochromic,Premium,0,0,1,93
Bifocal,2.65,1.74,Blue Cut,Hospital,1,1,1,67
Progressive,3.53,1.67,Anti Glare,Hospital,1,0,2,97
Bifocal,3.33,1.67,Standard,Premium,1,0,2,104
Progressive,-7.37,1.67,Photochromic,Hospital,1,0,3,140
Bifocal,-4.37,1.67,Photochromic,Premium,1,0,0,81
Single Vision,-3.98,1.50,Standard,Hospital,0,0,3,88
Bifocal,-0.62,1.67,Photochromic,Hospital,0,0,2,102
Bifocal,-5.22,1.56,Photochromic,Premium,0,0,1,105
Single Vision,-5.75,1.74,Anti Glare,Premium,0,1,3,86
Single Vision,0.81,1.67,Anti Glare,Premium,1,1,0,39
Progressive,-1.87,1.67,Standard,Premium,1,0,1,106
Single Vision,-4.76,1.67,Blue Cut,Retail,0,1,1,55
Bifocal,-3.17,1.56,Anti Glare,Retail,1,0,1,75
Progressive,-0.81,1.74,Standard,Hospital,0,1,1,92
Single Vision,1.08,1.67,Blue Cut,Hospital,0,1,3,53
Single Vision,-3.66,1.50,Photochromic,Retail,0,0,2,84
Bifocal,-3.99,1.50,Anti Glare,Retail,1,1,3,62
Progressive,-0.65,1.50,Blue Cut,Hospital,1,0,2,95
Single Vision,2.45,1.67,Standard,Hospital,0,0,3,79
Single Vision,-6.58,1.56,Blue Cut,Hospital,0,0,2,89
Single Vision,-4.42,1.50,Anti Glare,Hospital,1,0,3,90
Single Vision,-0.93,1.74,Standard,Hospital,0,0,1,75
Bifocal,-5.13,1.56,Anti Glare,Hospital,0,0,1,102
Bifocal,0.84,1.67,Photochromic,Retail,1,1,0,66
Single Vision,-0.67,1.67,Blue Cut,Premium,1,1,1,59
Single Vision,-3.31,1.67,Blue Cut,Retail,1,0,1,90
Progressive,-1.64,1.67,Photochromic,Hospital,1,1,0,96
Single Vision,-5.94,1.74,Standard,Retail,1,1,0,34
Single Vision,-3.7,1.67,Blue Cut,Retail,0,0,0,83
Bifocal,-0.8,1.67,Standard,Retail,1,1,1,70
Progressive,-2.74,1.74,Photochromic,Retail,0,0,3,160
Single Vision,-1.09,1.74,Anti Glare,Hospital,1,1,1,25
Single Vision,2.51,1.50,Blue Cut,Premium,1,1,3,46
Single Vision,-1.65,1.67,Standard,Retail,0,1,1,42
