lens_type,power,lens_index,coating,store_type,rush_order,inventory_available,queue_depth,machine_load,utilization_percent,qc_failures,completion_hours
Single Vision,-0.1,1.50,Standard,Retail,0,1,34,46,79,4,226.59
Single Vision,-2.93,1.56,Photochromic,Hospital,0,0,4,38,71,2,175.38
Single Vision,-2.25,1.74,Standard,Franchise,0,1,12,26,51,3,122.39
Progressive,2.36,1.56,Blue Cut,Franchise,0,0,13,48,33,4,247.65
Single Vision,-0.37,1.74,Photochromic,Retail,0,1,22,27,77,0,145.4
Bifocal,-7.66,1.74,Standard,Retail,1,1,4,96,95,1,121.2
Single Vision,-6.71,1.67,Photochromic,Franchise,1,0,29,35,82,0,233.93
Single Vision,-6.51,1.74,Blue Cut,Hospital,1,1,24,50,65,0,144.62
Bifocal,0.17,1.56,Blue Cut,Franchise,0,0,34,55,85,3,298.36
Single Vision,2.11,1.56,Standard,Hospital,0,0,2,65,37,0,155.17
Progressive,-4.62,1.67,Standard,Hospital,0,1,38,68,45,0,213.02
Single Vision,-0.46,1.50,Blue Cut,Franchise,0,1,21,86,94,1,161.8
Single Vision,3.76,1.50,Blue Cut,Retail,0,0,10,64,96,2,199.79
Progressive,3.76,1.74,Photochromic,Retail,0,0,39,41,97,4,344.03
Single Vision,-0.13,1.56,Standard,Retail,1,0,20,89,92,4,271.19
Single Vision,-3.43,1.56,Blue Cut,Hospital,0,1,16,96,44,2,154.35
Single Vision,2.61,1.67,Standard,Retail,0,1,27,20,43,4,167.14
Single Vision,3.62,1.56,Standard,Hospital,0,1,27,10,82,0,116.56
Single Vision,-2.14,1.50,Standard,Franchise,0,0,9,86,89,2,203.28
Single Vision,-5.06,1.67,Blue Cut,Hospital,0,1,5,16,63,1,64.22
Single Vision,-0.01,1.67,Standard,Franchise,0,0,33,37,92,4,298.46
Progressive,1.85,1.74,Blue Cut,Hospital,0,1,8,53,82,0,114.15
Single Vision,3.64,1.56,Blue Cut,Retail,0,0,0,61,25,0,136.39
Single Vision,-3.39,1.74,Blue Cut,Hospital,0,1,8,49,95,0,98.28
Progressive,1.76,1.56,Photochromic,Hospital,0,1,25,88,72,3,225.61
Bifocal,2.19,1.56,Blue Cut,Franchise,0,0,36,80,57,1,298.75
Bifocal,-0.45,1.67,Standard,Franchise,1,1,37,27,95,4,217.07
Single Vision,-6.69,1.56,Photochromic,Retail,0,1,27,18,31,1,152.93
Single Vision,-2.62,1.56,Photochromic,Franchise,0,0,7,39,45,2,189.44
Single Vision,-6.71,1.56,Standard,Franchise,0,0,21,29,24,3,227.31
Progressive,2.12,1.56,Blue Cut,Hospital,0,1,23,13,86,4,184.73
Single Vision,0.65,1.74,Standard,Retail,1,1,28,37,83,4,190.89
Single Vision,-2.82,1.67,Blue Cut,Hospital,1,1,4,70,39,3,114.59
Single Vision,2.63,1.67,Blue Cut,Retail,1,1,35,86,30,3,225.2
Single Vision,-0.05,1.56,Standard,Hospital,1,1,2,25,64,1,50.59
Progressive,0.03,1.56,Standard,Hospital,0,1,27,24,57,1,159.02
Single Vision,-2.83,1.67,Blue Cut,Franchise,1,0,7,53,24,0,156.84
Progressive,3.71,1.67,Photochromic,Hospital,0,0,11,28,56,2,204.69
Single Vision,-5.18,1.74,Standard,Franchise,0,1,23,49,25,2,163.7
Single Vision,-4.72,1.50,Standard,Retail,0,1,10,80,77,2,132.8
Single Vision,-4.23,1.50,Standard,Franchise,0,1,22,60,66,0,140.57
Single Vision,3.79,1.74,Photochromic,Hospital,0,1,2,92,83,2,140.01
Single Vision,-4.26,1.50,Standard,Retail,0,1,34,94,55,1,215.86
Single Vision,-7.45,1.67,Blue Cut,Retail,0,1,35,66,54,4,238.56
Bifocal,1.05,1.56,Standard,Franchise,1,1,37,67,20,2,219.54
Progressive,2.75,1.50,Photochromic,Franchise,0,0,32,41,28,2,291.0
Single Vision,-1.04,1.67,Blue Cut,Hospital,0,0,15,96,94,2,237.42
Single Vision,-6.86,1.56,Blue Cut,Hospital,1,0,31,23,37,4,265.17
Single Vision,-4.44,1.50,Standard,Franchise,0,1,3,86,48,4,125.12
Single Vision,-3.0,1.50,Standard,Hospital,0,1,19,14,58,3,130.38
Bifocal,0.37,1.67,Photochromic,Retail,0,1,12,91,75,0,138.88
Single Vision,-7.87,1.67,Standard,Hospital,1,0,5,35,73,4,185.82
Single Vision,-2.64,1.67,Blue Cut,Retail,1,1,3,15,99,3,72.01
Bifocal,1.41,1.67,Standard,Hospital,1,1,20,17,83,3,141.45
Single Vision,-6.9,1.67,Standard,Retail,0,1,39,70,86,3,233.62
Single Vision,3.22,1.67,Photochromic,Retail,0,0,10,60,69,3,219.04
Single Vision,1.47,1.56,Standard,Retail,1,1,32,64,28,2,191.35
Single Vision,-6.75,1.50,Photochromic,Franchise,0,0,9,18,70,0,153.25
Progressive,1.83,1.74,Standard,Hospital,0,1,36,29,41,1,203.97
Single Vision,-1.81,1.67,Standard,Franchise,0,0,10,24,92,3,191.68
Single Vision,-1.44,1.67,Blue Cut,Hospital,0,1,12,81,63,3,156.01
Progressive,-6.87,1.67,Blue Cut,Hospital,0,1,37,76,39,2,242.73
Bifocal,3.3,1.56,Standard,Retail,0,1,7,87,53,4,150.16
Progressive,-5.12,1.67,Standard,Hospital,0,1,32,42,20,3,217.12
Progressive,-0.9,1.67,Standard,Hospital,1,0,27,13,61,2,236.09
Single Vision,-5.29,1.56,Standard,Hospital,1,1,29,51,87,0,151.41
Single Vision,-2.79,1.50,Standard,Hospital,0,0,21,62,40,2,245.89
Single Vision,0.51,1.56,Photochromic,Hospital,0,1,39,66,53,0,200.94
Single Vision,2.2,1.56,Standard,Hospital,0,1,8,18,20,3,91.36
Single Vision,-7.26,1.56,Standard,Hospital,0,0,15,49,27,1,197.25
Progressive,-0.52,1.50,Standard,Retail,1,0,5,62,23,4,212.62
Single Vision,-1.43,1.67,Standard,Retail,0,0,31,23,30,1,244.27
Single Vision,1.84,1.50,Blue Cut,Retail,0,1,12,94,73,4,168.28
Single Vision,-0.54,1.56,Blue Cut,Franchise,0,0,12,85,41,3,234.45
Single Vision,3.27,1.74,Blue Cut,Retail,0,1,1,88,76,0,95.16
Progressive,-6.5,1.56,Standard,Hospital,0,0,39,24,23,1,276.24
Single Vision,-4.74,1.50,Standard,Retail,0,0,3,94,58,4,222.13
Progressive,-1.52,1.56,Standard,Retail,1,1,29,91,91,1,194.4
Progressive,-6.32,1.56,Photochromic,Franchise,1,1,19,44,78,0,139.65
Single Vision,-6.26,1.67,Standard,Franchise,0,1,5,33,92,2,78.0
Single Vision,0.71,1.67,Blue Cut,Retail,0,1,10,14,83,3,107.67
Single Vision,-0.23,1.74,Standard,Hospital,0,0,29,66,66,3,286.09
Single Vision,-6.88,1.67,Standard,Hospital,0,1,22,44,66,2,160.06
Single Vision,-7.38,1.67,Blue Cut,Retail,0,1,21,13,96,1,116.15
Progressive,1.24,1.56,Standard,Retail,0,1,34,97,71,3,256.31
Progressive,-4.97,1.50,Standard,Franchise,0,0,27,46,80,2,266.44
Single Vision,0.46,1.50,Standard,Franchise,0,1,14,65,73,4,165.2
Single Vision,-4.12,1.74,Standard,Retail,0,0,37,62,71,3,315.48
Single Vision,3.15,1.56,Blue Cut,Retail,1,0,27,88,74,1,248.57
Single Vision,3.97,1.67,Photochromic,Retail,0,1,11,21,55,4,130.72
Single Vision,-5.86,1.50,Blue Cut,Retail,0,1,17,83,72,0,130.85
Single Vision,-3.21,1.56,Standard,Retail,0,0,18,83,68,2,237.13
Single Vision,-6.75,1.50,Standard,Retail,0,1,10,20,31,0,69.25
Single Vision,-5.03,1.67,Standard,Retail,0,0,19,92,40,0,223.32
Single Vision,1.61,1.56,Blue Cut,Retail,0,0,32,36,68,1,246.6
Single Vision,0.66,1.56,Blue Cut,Hospital,0,1,27,52,28,2,178.78
Single Vision,2.9,1.56,Photochromic,Retail,0,1,22,83,77,4,210.72
Bifocal,-6.66,1.56,Standard,Franchise,1,0,0,85,80,2,174.61
Single Vision,-7.3,1.67,Blue Cut,Retail,0,1,14,48,76,1,105.67
Single Vision,3.59,1.56,Photochromic,Franchise,0,1,34,35,95,3,211.32
Progressive,2.13,1.74,Standard,Franchise,0,0,23,61,62,1,256.08
Bifocal,-6.16,1.56,Blue Cut,Retail,0,1,24,73,32,3,204.95
Single Vision,-1.31,1.50,Standard,Retail,0,1,36,68,40,3,229.28
Progressive,-0.43,1.56,Standard,Hospital,0,0,1,34,70,1,152.48
Single Vision,-3.26,1.67,Standard,Franchise,0,1,26,32,52,3,166.46
Progressive,-3.62,1.67,Standard,Retail,0,0,12,45,98,0,182.58
Bifocal,0.73,1.50,Standard,Retail,1,1,16,46,38,2,131.89
Single Vision,3.92,1.50,Blue Cut,Retail,0,1,26,47,45,2,165.97
Single Vision,2.18,1.67,Photochromic,Hospital,0,0,11,31,81,4,211.07
Progressive,-4.83,1.67,Photochromic,Hospital,0,0,18,14,53,1,212.02
Single Vision,-2.14,1.56,Photochromic,Hospital,0,1,0,45,32,2,85.55
Progressive,-7.19,1.50,Photochromic,Franchise,1,1,2,90,78,1,114.18
Progressive,-7.41,1.56,Standard,Franchise,1,0,34,99,88,4,337.59
Single Vision,1.1,1.50,Standard,Hospital,0,0,15,82,93,4,253.56
Bifocal,2.15,1.74,Blue Cut,Franchise,0,1,20,19,60,2,144.92
Progressive,1.81,1.56,Blue Cut,Hospital,0,1,23,50,82,4,203.48
Single Vision,0.71,1.56,Photochromic,Hospital,0,1,19,32,88,0,120.14
Single Vision,2.39,1.56,Blue Cut,Franchise,1,0,27,76,24,3,263.99
Single Vision,0.55,1.67,Standard,Retail,0,1,19,27,83,0,111.19
Single Vision,-1.64,1.67,Blue Cut,Hospital,0,0,15,67,24,1,205.9
Single Vision,-7.2,1.74,Photochromic,Franchise,0,0,4,78,35,1,194.61
Progressive,-1.14,1.67,Blue Cut,Hospital,0,1,29,35,68,4,216.84
Bifocal,-4.46,1.74,Standard,Franchise,0,1,24,72,69,0,170.52
Progressive,-2.6,1.67,Standard,Franchise,0,1,25,21,38,3,177.72
Progressive,-1.87,1.56,Standard,Franchise,0,0,30,95,62,2,306.55
Single Vision,-3.07,1.56,Blue Cut,Franchise,1,1,2,47,43,0,58.08
Progressive,-1.78,1.50,Photochromic,Retail,0,0,12,88,25,0,223.8
Progressive,-3.03,1.50,Standard,Hospital,1,1,16,46,55,1,126.71
Bifocal,3.34,1.50,Blue Cut,Retail,0,1,2,13,76,2,70.64
Single Vision,0.83,1.56,Standard,Franchise,0,1,25,22,42,3,160.29
Single Vision,0.16,1.67,Photochromic,Retail,0,0,20,16,30,4,240.89
Bifocal,-1.49,1.56,Standard,Retail,1,1,32,81,51,4,234.98
Progressive,1.12,1.50,Standard,Retail,0,1,7,28,51,2,110.73
Single Vision,-3.47,1.67,Blue Cut,Franchise,0,1,29,22,62,4,186.97
Single Vision,-7.83,1.67,Standard,Hospital,0,1,27,93,57,3,209.31
Bifocal,-7.49,1.74,Photochromic,Retail,0,1,12,50,30,4,164.85
Single Vision,-7.31,1.67,Standard,Retail,0,1,18,60,51,1,137.53
Single Vision,2.31,1.56,Photochromic,Retail,0,1,2,54,34,0,74.93
Bifocal,-2.14,1.67,Blue Cut,Franchise,0,0,10,14,71,4,200.56
Bifocal,-4.08,1.67,Standard,Retail,0,1,34,96,26,3,240.86
Single Vision,1.39,1.67,Blue Cut,Retail,0,1,24,79,67,2,174.61
Single Vision,-6.26,1.50,Standard,Retail,0,1,6,77,61,2,109.8
Single Vision,-5.37,1.50,Blue Cut,Retail,0,0,23,60,85,3,254.23
Progressive,3.38,1.56,Standard,Hospital,0,1,29,22,59,4,207.96
Progressive,-5.16,1.67,Standard,Retail,0,1,4,53,85,1,92.15
Bifocal,-0.02,1.56,Standard,Hospital,0,0,38,76,92,4,342.48
Single Vision,1.86,1.56,Standard,Hospital,1,1,39,81,21,3,243.2
Progressive,-6.25,1.56,Standard,Franchise,0,1,11,50,38,3,138.98
Single Vision,-4.4,1.67,Photochromic,Retail,0,0,38,46,48,2,298.78
Progressive,-6.35,1.56,Standard,Franchise,1,1,12,53,57,4,165.53
Single Vision,-5.3,1.67,Standard,Franchise,1,0,30,12,54,3,247.32
Single Vision,-0.99,1.67,Standard,Hospital,0,1,17,40,83,4,151.45
Single Vision,-1.06,1.56,Blue Cut,Franchise,0,1,10,20,79,0,76.64
Single Vision,-2.54,1.67,Standard,Retail,0,1,7,68,42,1,103.07
Progressive,-2.62,1.50,Standard,Franchise,1,0,30,78,40,2,300.62
Progressive,-5.52,1.74,Photochromic,Retail,0,1,28,95,66,4,259.33
Progressive,3.18,1.50,Standard,Franchise,0,1,23,39,49,2,160.66
Bifocal,-5.56,1.50,Standard,Retail,0,0,12,47,64,0,182.23
Progressive,-2.45,1.56,Blue Cut,Hospital,0,0,30,35,40,0,253.6
Single Vision,-4.94,1.56,Standard,Retail,0,1,31,12,86,0,142.95
Single Vision,-3.87,1.67,Photochromic,Hospital,0,1,20,56,61,4,182.74
Progressive,-5.12,1.56,Standard,Hospital,0,1,35,67,39,3,247.94
Single Vision,3.87,1.67,Standard,Hospital,1,1,7,79,69,2,112.2
Bifocal,-2.42,1.50,Standard,Retail,0,0,0,20,25,3,159.79
Single Vision,-3.09,1.50,Photochromic,Franchise,0,1,37,82,90,4,267.81
Single Vision,-7.33,1.74,Photochromic,Franchise,1,0,20,56,20,3,262.81
Single Vision,1.82,1.50,Blue Cut,Retail,0,0,11,33,52,2,183.94
Single Vision,2.49,1.67,Standard,Retail,0,1,8,49,70,0,75.44
Single Vision,0.97,1.50,Standard,Hospital,1,1,5,82,45,1,93.17
Bifocal,-4.61,1.50,Blue Cut,Franchise,0,1,36,38,53,2,206.57
Single Vision,2.18,1.56,Standard,Retail,0,1,12,48,93,1,107.49
Single Vision,-7.06,1.67,Standard,Retail,0,1,30,16,21,0,147.68
Single Vision,-0.51,1.50,Blue Cut,Franchise,0,0,32,74,96,2,275.1
Single Vision,2.69,1.67,Blue Cut,Retail,0,1,24,46,94,0,131.54
Single Vision,-0.63,1.67,Standard,Hospital,0,0,25,79,78,1,250.05
Single Vision,2.78,1.56,Blue Cut,Franchise,0,0,7,77,24,2,192.48
Progressive,-5.63,1.50,Blue Cut,Franchise,0,0,26,46,77,4,284.78
Single Vision,-7.2,1.56,Standard,Franchise,0,1,28,79,65,1,182.96
Single Vision,-6.06,1.56,Blue Cut,Hospital,1,0,7,64,95,0,166.46
Single Vision,-6.13,1.56,Standard,Hospital,1,0,36,78,60,4,320.35
Bifocal,-7.53,1.50,Standard,Franchise,0,1,24,98,33,2,199.55
Bifocal,2.35,1.67,Standard,Retail,0,1,7,68,36,2,124.68
Progressive,2.09,1.67,Blue Cut,Retail,0,1,17,96,88,1,170.28
Progressive,-1.96,1.50,Photochromic,Franchise,1,1,3,25,95,2,85.49
Progressive,0.74,1.67,Blue Cut,Hospital,0,0,24,40,34,1,240.17
Bifocal,1.3,1.74,Standard,Franchise,0,1,29,15,44,3,189.42
Single Vision,-3.87,1.67,Standard,Franchise,0,0,4,15,77,2,151.7
Single Vision,-2.38,1.56,Standard,Franchise,0,1,17,67,59,0,125.88
Progressive,-1.06,1.74,Standard,Hospital,1,1,4,70,63,2,113.56
Single Vision,-0.68,1.74,Standard,Hospital,0,1,28,39,53,3,196.91
Single Vision,-6.22,1.56,Blue Cut,Franchise,1,1,26,41,80,0,130.78
Single Vision,-7.43,1.50,Blue Cut,Franchise,0,1,17,87,33,4,177.9
Progressive,-1.39,1.56,Blue Cut,Retail,0,0,37,38,96,1,282.58
Single Vision,0.96,1.56,Blue Cut,Hospital,0,1,19,86,53,0,141.59
Progressive,3.88,1.74,Blue Cut,Hospital,0,0,0,50,83,1,172.57
Progressive,3.38,1.67,Standard,Retail,0,0,4,30,46,4,197.97
Single Vision,1.24,1.56,Blue Cut,Franchise,0,1,3,84,38,0,83.06
Bifocal,0.61,1.56,Blue Cut,Hospital,0,0,22,36,61,0,208.59
Progressive,-7.52,1.50,Blue Cut,Retail,0,0,21,78,20,1,257.6
Single Vision,1.94,1.67,Photochromic,Franchise,0,0,8,76,26,1,200.66
Single Vision,1.05,1.67,Blue Cut,Hospital,0,0,5,48,44,1,163.2
Single Vision,-5.39,1.56,Blue Cut,Hospital,0,1,11,19,35,2,102.89
Single Vision,-2.95,1.67,Blue Cut,Franchise,1,1,24,23,94,2,140.81
Single Vision,-0.12,1.50,Standard,Franchise,0,0,35,49,85,0,252.49
Single Vision,2.4,1.67,Standard,Franchise,0,1,2,10,70,1,52.3
Single Vision,1.96,1.56,Standard,Retail,0,0,20,43,33,1,213.26
Single Vision,1.95,1.67,Standard,Retail,0,1,15,56,45,4,159.59
Bifocal,-4.99,1.67,Photochromic,Retail,0,0,17,14,55,1,204.93
Progressive,-5.9,1.74,Standard,Hospital,0,1,14,75,34,2,169.12
Progressive,2.1,1.74,Blue Cut,Hospital,0,0,21,58,92,2,273.39
Single Vision,-7.15,1.67,Standard,Franchise,0,1,35,35,91,3,204.69
Single Vision,-0.17,1.56,Standard,Retail,0,1,33,32,74,3,199.91
Progressive,-7.71,1.67,Photochromic,Retail,1,1,16,68,43,3,175.7
Bifocal,-3.41,1.67,Blue Cut,Franchise,1,1,2,11,26,0,31.44
Progressive,-0.52,1.67,Blue Cut,Franchise,0,1,6,98,33,3,149.16
Single Vision,1.22,1.56,Standard,Retail,0,1,14,83,47,3,163.3
Bifocal,2.67,1.67,Standard,Retail,1,1,13,89,56,2,143.51
Single Vision,-0.57,1.74,Standard,Hospital,0,0,28,38,98,3,265.22
Bifocal,-5.1,1.67,Standard,Retail,0,0,38,32,30,3,299.32
Single Vision,2.07,1.67,Blue Cut,Retail,0,0,24,86,56,4,292.16
Single Vision,-6.11,1.50,Standard,Retail,0,0,8,68,46,1,180.65
Single Vision,1.78,1.56,Photochromic,Franchise,0,1,28,84,89,2,197.11
Single Vision,3.12,1.56,Standard,Hospital,0,1,13,39,67,0,96.2
Single Vision,2.13,1.67,Standard,Franchise,1,1,2,34,80,4,83.59
Bifocal,-5.66,1.67,Standard,Franchise,0,0,29,77,77,4,304.76
Progressive,1.01,1.56,Blue Cut,Hospital,0,1,25,19,96,1,152.22
Single Vision,0.24,1.67,Blue Cut,Hospital,0,1,14,98,57,0,129.37
Bifocal,1.34,1.74,Standard,Retail,1,1,11,50,85,0,95.02
Progressive,-0.22,1.67,Standard,Hospital,0,1,37,31,52,3,231.13
Progressive,-0.42,1.67,Standard,Franchise,0,0,15,26,20,0,184.37
Bifocal,-7.7,1.56,Standard,Retail,0,1,14,51,23,2,132.63
Single Vision,-6.49,1.67,Standard,Hospital,0,1,3,90,29,3,124.7
Single Vision,1.08,1.67,Blue Cut,Retail,0,0,25,53,89,4,277.51
Bifocal,-7.11,1.56,Standard,Retail,0,0,27,57,58,4,283.53
Single Vision,0.57,1.74,Standard,Retail,0,1,4,97,91,1,114.22
Single Vision,0.38,1.67,Standard,Hospital,0,1,30,87,84,0,181.47
Single Vision,-2.72,1.56,Blue Cut,Franchise,0,1,20,51,88,1,139.1
Single Vision,-6.27,1.67,Photochromic,Hospital,1,1,13,48,32,2,122.88
Single Vision,-3.78,1.67,Standard,Franchise,0,0,26,65,79,2,257.05
Single Vision,-3.76,1.50,Blue Cut,Hospital,0,0,25,87,91,4,282.9
Bifocal,-1.91,1.50,Blue Cut,Retail,0,0,7,39,59,1,170.33
Single Vision,2.43,1.67,Standard,Retail,0,1,15,83,50,4,177.07
Single Vision,-1.36,1.56,Standard,Franchise,0,1,18,75,85,0,129.93
Bifocal,-7.38,1.56,Standard,Retail,1,1,20,20,28,3,138.4
Single Vision,-1.83,1.67,Standard,Retail,0,1,32,96,93,0,196.6
Single Vision,-0.41,1.50,Blue Cut,Retail,0,1,12,25,59,2,102.39
Progressive,-1.29,1.50,Standard,Hospital,0,0,1,53,93,0,153.88
Single Vision,-0.53,1.50,Standard,Retail,0,0,25,38,43,3,241.9
Single Vision,-4.62,1.74,Photochromic,Hospital,0,0,16,48,67,0,218.64
Single Vision,-3.4,1.56,Photochromic,Hospital,1,0,38,43,96,4,314.54
Single Vision,3.65,1.56,Photochromic,Franchise,1,0,31,20,67,4,270.31
Progressive,1.54,1.56,Blue Cut,Retail,1,1,22,77,61,0,162.74
Single Vision,-7.4,1.67,Standard,Franchise,0,1,21,61,47,4,177.96
Single Vision,-2.34,1.67,Blue Cut,Retail,1,0,25,86,38,0,248.7
Bifocal,-5.73,1.50,Standard,Retail,0,0,10,92,45,1,214.94
Bifocal,-1.97,1.50,Standard,Retail,0,0,24,83,74,1,254.69
Progressive,-7.19,1.50,Blue Cut,Hospital,0,1,13,49,93,1,128.84
Single Vision,-4.51,1.56,Standard,Retail,0,1,9,21,46,2,86.55
Progressive,3.3,1.67,Blue Cut,Hospital,0,1,38,82,81,3,262.97
Single Vision,-6.65,1.67,Standard,Hospital,0,0,12,48,40,4,218.16
Single Vision,3.27,1.56,Blue Cut,Franchise,0,1,27,33,61,3,170.04
Single Vision,-7.2,1.56,Standard,Hospital,1,0,31,76,80,4,299.3
Single Vision,-3.78,1.67,Photochromic,Hospital,0,0,7,34,42,1,176.01
Single Vision,-0.92,1.50,Photochromic,Franchise,0,0,34,86,39,0,285.76
Single Vision,-4.28,1.50,Blue Cut,Hospital,1,1,23,58,48,1,138.32
Single Vision,-1.33,1.67,Photochromic,Retail,0,1,3,92,58,1,111.59
Single Vision,-1.19,1.50,Standard,Franchise,1,1,3,61,50,3,99.58
Progressive,-5.07,1.74,Standard,Hospital,1,0,35,45,59,2,294.29
Single Vision,2.16,1.74,Standard,Retail,0,1,29,84,65,3,224.7
Single Vision,3.14,1.67,Standard,Hospital,0,1,0,49,24,2,78.93
Progressive,-5.25,1.74,Standard,Retail,0,1,12,63,26,1,141.94
Single Vision,-4.31,1.56,Blue Cut,Franchise,0,1,19,72,64,3,168.71
Bifocal,-3.89,1.50,Blue Cut,Franchise,1,1,30,64,25,0,163.9
Single Vision,2.1,1.67,Blue Cut,Franchise,0,1,34,18,57,0,150.55
Bifocal,-5.59,1.67,Blue Cut,Franchise,0,1,22,55,28,1,157.39
Bifocal,-4.31,1.67,Blue Cut,Franchise,0,1,23,59,26,4,195.82
Single Vision,1.26,1.67,Photochromic,Hospital,0,1,7,22,97,2,92.31
Bifocal,1.08,1.67,Standard,Retail,0,1,4,27,82,4,111.63
Progressive,-4.9,1.74,Blue Cut,Hospital,0,1,8,21,28,3,121.43
Single Vision,-0.52,1.56,Standard,Retail,0,1,7,15,82,3,94.76
Single Vision,2.23,1.56,Blue Cut,Hospital,0,0,23,73,60,4,269.03
Single Vision,-7.89,1.74,Photochromic,Retail,0,1,19,83,93,3,198.76
Progressive,2.19,1.50,Standard,Franchise,0,1,4,76,72,4,150.66
Single Vision,0.47,1.74,Blue Cut,Franchise,0,0,28,65,46,0,255.84
Single Vision,-2.72,1.56,Blue Cut,Retail,0,0,39,72,57,4,332.08
Progressive,3.5,1.74,Standard,Franchise,0,1,10,72,90,2,148.99
Progressive,-3.44,1.67,Standard,Franchise,0,1,2,71,56,0,92.17
Progressive,1.93,1.67,Standard,Hospital,0,0,8,81,34,0,197.24
Progressive,0.82,1.74,Standard,Hospital,0,0,0,40,75,3,187.94
Bifocal,1.6,1.74,Blue Cut,Retail,0,0,4,31,47,4,205.22
Progressive,-2.95,1.67,Standard,Franchise,1,0,17,65,83,4,260.38
Single Vision,-0.32,1.74,Blue Cut,Hospital,0,1,31,37,61,1,179.16
Single Vision,2.98,1.56,Blue Cut,Hospital,0,0,10,98,38,4,243.84
Bifocal,-1.2,1.74,Photochromic,Franchise,0,0,5,65,59,0,183.67
Single Vision,-7.34,1.56,Blue Cut,Hospital,0,0,36,26,89,4,298.0
Single Vision,-3.78,1.50,Photochromic,Franchise,1,0,34,89,67,2,301.36
Bifocal,1.08,1.67,Standard,Franchise,0,0,1,95,28,2,180.59
Progressive,-6.67,1.67,Standard,Retail,0,1,14,38,85,2,125.17
Bifocal,-4.18,1.56,Photochromic,Retail,0,1,3,39,32,3,108.3
Progressive,-5.31,1.67,Photochromic,Franchise,0,1,39,62,95,2,245.01
Single Vision,-7.11,1.67,Blue Cut,Franchise,1,1,16,69,73,4,152.68
Progressive,-7.43,1.50,Photochromic,Hospital,1,1,17,47,84,0,132.25
Single Vision,-2.17,1.56,Standard,Retail,0,0,7,39,83,0,145.7
Progressive,-3.4,1.50,Blue Cut,Hospital,0,0,4,49,38,1,177.21
Single Vision,-3.63,1.56,Standard,Franchise,0,0,8,54,68,1,168.34
Single Vision,2.79,1.74,Standard,Retail,0,1,21,28,28,2,152.02
Progressive,1.59,1.74,Standard,Franchise,0,0,13,74,44,3,257.23
Single Vision,1.81,1.50,Standard,Hospital,0,1,21,29,66,1,128.0
Single Vision,0.04,1.67,Photochromic,Retail,0,1,6,95,51,4,159.21
Progressive,-7.32,1.50,Standard,Retail,0,0,26,53,81,4,290.18
Bifocal,-6.96,1.56,Photochromic,Hospital,0,1,22,21,21,2,155.21
Progressive,-4.65,1.67,Standard,Hospital,1,1,5,11,48,4,105.51
Single Vision,1.5,1.56,Blue Cut,Franchise,0,0,11,40,95,1,180.3
Progressive,2.84,1.50,Standard,Retail,1,1,23,16,80,2,145.26
Progressive,-7.69,1.56,Blue Cut,Hospital,0,1,38,92,64,3,258.67
Single Vision,-4.12,1.50,Photochromic,Franchise,0,1,21,94,84,0,164.1
Single Vision,-2.09,1.67,Standard,Hospital,1,0,14,29,47,2,186.8
Bifocal,-2.64,1.56,Standard,Franchise,0,0,2,84,48,2,192.5
Single Vision,-3.52,1.74,Standard,Franchise,1,1,10,69,46,2,132.49
Progressive,-1.15,1.50,Standard,Retail,0,1,24,39,82,1,165.51
Single Vision,-3.52,1.74,Standard,Hospital,0,1,3,25,70,1,73.59
Single Vision,-4.73,1.50,Standard,Retail,0,1,32,30,86,3,190.62
Single Vision,3.55,1.50,Standard,Hospital,1,0,23,74,70,1,228.38
Single Vision,1.0,1.56,Standard,Hospital,1,1,21,47,33,1,133.18
Bifocal,-5.21,1.56,Photochromic,Hospital,0,1,38,12,50,3,224.52
Single Vision,-6.92,1.74,Standard,Hospital,0,1,23,61,55,2,176.01
Bifocal,-7.58,1.67,Standard,Retail,0,0,29,66,52,1,263.12
Single Vision,1.87,1.56,Photochromic,Franchise,1,1,4,33,90,4,109.74
Progressive,-4.07,1.56,Blue Cut,Franchise,0,1,29,93,80,4,246.01
Bifocal,-3.96,1.56,Photochromic,Retail,1,0,29,99,48,3,314.42
Single Vision,0.36,1.50,Blue Cut,Franchise,0,1,9,58,43,2,116.84
Single Vision,-3.24,1.50,Blue Cut,Franchise,0,0,3,59,80,4,198.94
Bifocal,-7.05,1.67,Blue Cut,Hospital,1,1,4,48,48,3,117.52
Progressive,-3.28,1.56,Blue Cut,Hospital,1,1,26,35,22,1,149.99
Single Vision,-5.84,1.67,Blue Cut,Hospital,0,1,10,95,92,4,159.9
Progressive,-3.83,1.67,Blue Cut,Franchise,1,1,7,29,95,3,111.91
Progressive,-3.24,1.67,Standard,Hospital,0,1,22,61,45,3,186.25
Bifocal,-1.38,1.50,Standard,Retail,0,0,4,84,51,2,200.06
Progressive,-6.42,1.67,Blue Cut,Hospital,0,0,4,21,65,4,185.22
Single Vision,-7.13,1.67,Standard,Hospital,0,0,17,89,20,4,266.62
Single Vision,2.02,1.56,Standard,Retail,0,1,11,22,37,2,93.33
Single Vision,-2.78,1.74,Photochromic,Hospital,0,0,18,56,79,3,259.36
Progressive,-1.1,1.56,Blue Cut,Franchise,0,1,22,24,71,4,172.8
Single Vision,3.01,1.50,Blue Cut,Franchise,0,1,20,25,98,4,164.3
Bifocal,-1.79,1.74,Blue Cut,Franchise,0,0,15,64,37,1,228.5
